21216, 21215, 20399,
9186, 9280, 14838,
16020, 13433, 5187,
16021, 16020, 5187,
20919, 20920, 21003,
23418, 15239, 23127,
30553, 27378, 30502,
7291, 7293, 21464,
12803, 12714, 13083,
12777, 4682, 16928,
22066, 22936, 21048,
21134, 22066, 21048,
3221, 3359, 118,
4809, 25593, 118,
1656, 1539, 3359,
2761, 15567, 15618,
3221, 1656, 3359,
4376, 9528, 2528,
5207, 2761, 15618,
2941, 2942, 5207,
1028, 4376, 2528,
1656, 5343, 6260,
2942, 2941, 3488,
1539, 1656, 6260,
5343, 5740, 1531,
6260, 5343, 1531,
5740, 5594, 3025,
1531, 5740, 3025,
5594, 2260, 819,
3025, 5594, 819,
2260, 2982, 2576,
819, 2260, 2576,
2982, 15184, 15171,
17247, 4193, 17246,
2576, 2982, 15171,
4376, 1028, 15618,
1566, 4810, 1682,
15919, 16061, 15918,
15567, 4376, 15618,
16481, 1563, 1660,
15779, 15780, 15918,
11799, 15970, 11619,
16061, 16060, 15918,
3489, 2942, 3488,
15160, 3618, 15143,
4810, 3489, 3488,
2942, 2761, 5207,
4810, 4945, 1682,
4945, 4810, 3488,
15184, 16830, 16827,
15734, 16168, 1150,
15171, 15184, 16827,
16830, 14705, 14682,
16827, 16830, 14682,
14705, 16625, 17115,
14682, 14705, 17115,
16625, 14875, 16636,
17115, 16625, 16636,
14875, 5062, 17024,
16636, 14875, 17024,
5062, 5356, 5491,
17024, 5062, 5491,
5356, 6018, 6019,
5491, 5356, 6019,
15600, 15674, 15675,
23266, 30828, 30827,
16671, 15521, 16829,
16204, 16203, 16060,
7013, 7012, 6913,
16104, 15964, 14749,
17078, 17077, 16914,
22219, 22218, 22122,
23103, 23102, 23004,
23508, 24841, 23858,
17711, 17712, 17807,
15456, 15589, 15070,
1448, 14621, 15286,
16027, 14348, 15894,
13136, 13137, 15662,
14776, 14775, 14669,
20412, 15734, 1150,
16392, 16671, 17178,
6018, 16804, 14468,
22416, 22514, 22513,
6019, 6018, 14468,
16804, 15759, 3351,
14468, 16804, 3351,
15759, 15686, 15552,
3351, 15759, 15552,
15686, 3745, 14600,
